,,20~39세,20~39세,20~39세,65세이상,65세이상,65세이상,총합,총합,총합,소멸비율,소멸위기지역
인구수,,남자,여자,합계,남자,여자,합계,남자,여자,합계,,
광역시도,시도,,,,,,,,,,,
서울특별시,광진구,58699,64553,123252,22657,27905,50562,166469,180630,347099,2.553419564099521,False
서울특별시,구로구,61184,60145,121329,33992,40898,74890,212275,213945,426220,1.6062224596074242,False
서울특별시,금천구,40481,36694,77175,19203,23011,42214,125468,121930,247398,1.738475387312266,False
서울특별시,노원구,67688,67126,134814,36305,49377,85682,242171,261758,503929,1.566863518592003,False
서울특별시,도봉구,39842,39489,79331,27821,34718,62539,149413,159787,309200,1.2628599753753658,False
서울특별시,동대문구,58118,60961,119079,26897,33716,60613,169409,178792,348201,2.011482685232541,False
서울특별시,동작구,64260,66628,130888,28546,36397,64943,187311,200783,388094,2.0518916588392897,False
서울특별시,마포구,58658,70155,128813,22065,30133,52198,170867,194325,365192,2.6880340242921186,False
서울특별시,서대문구,48214,57615,105829,22180,29888,52068,146558,167989,314547,2.2130675270799722,False
서울특별시,서초구,49685,56489,106174,26341,31555,57896,187435,204867,392302,1.9513956059140527,False
서울특별시,성동구,46586,48008,94594,19684,25312,44996,139181,147288,286469,2.1338785669837317,False
서울특별시,성북구,64053,70448,134501,31272,41322,72594,207428,228081,435509,1.9408766564729867,False
서울특별시,송파구,90041,99043,189084,43793,50771,94564,305449,329271,634720,2.0947294953682163,False
서울특별시,양천구,54132,54251,108383,30051,36483,66534,211970,221403,433373,1.6307752427330386,False
서울특별시,영등포구,65419,67329,132748,29033,35570,64603,200027,202957,402984,2.0843923656796126,False
서울특별시,용산구,35333,37799,73132,15444,20248,35692,106910,114778,221688,2.1180656729799394,False
서울특별시,은평구,61757,66344,128101,36590,47884,84474,218155,239230,457385,1.570755498733338,False
서울특별시,종로구,23215,25156,48371,11410,14449,25859,71367,77490,148857,1.9456282145481263,False
서울특별시,중구,20576,22356,42932,9885,12750,22635,60657,65653,126310,1.975347912524851,False
서울특별시,중랑구,55359,55243,110602,31210,38453,69667,186364,193943,380307,1.585915856861929,False
세종특별자치시,세종시,51613,50747,102360,15943,19780,35727,183616,182611,366227,2.840820667842248,False
울산광역시,남구,47178,38771,85949,19249,22570,41819,160993,154314,315307,1.8542289389990196,False
울산광역시,동구,22302,17114,39416,10106,10822,20929,81916,73662,155578,1.635434086673993,False
울산광역시,북구,31891,26251,58142,8726,10550,19277,112223,103926,216149,2.7235565700057065,False
울산광역시,울주군,31281,22857,54138,15297,19091,34390,117279,106885,224164,1.329281767955801,False
울산광역시,중구,26716,22556,49272,15390,18962,34353,105796,103759,209555,1.3131895322097051,False
인천광역시,강화군,5479,4261,9740,10255,12349,22608,32927,32907,65834,0.3769462137296532,True
인천광역시,계양구,40858,37911,78769,17881,22747,40628,143944,147023,290967,1.866249876932165,False
인천광역시,남동구,74254,66637,140891,32923,43013,75936,260262,260903,521165,1.755083227981458,False
인천광역시,동구,7221,6099,13320,6113,8263,14378,30640,30413,61053,0.8483794686326331,True
인천광역시,미추홀구,63235,54895,118130,31192,40687,71879,207524,204498,412022,1.5274280387874066,False
인천광역시,부평구,70314,66169,136483,33280,43486,76766,244210,250431,494641,1.7239142328635073,False
인천광역시,서구,80773,73040,153813,27871,34855,62726,279909,271117,551026,2.3288588464113764,False
